sID,statement
P01N01,I will be condemned if I deviate from my ideals and high standards.
P01N02,I am responsible for making everything right.
P01N03,To be loved I must be perfect.
P01N04,"Do it right, do it now or don’t do it all."
P01N05,There is always “one” right way of doing things.
P02N01,It is selfish to have my own needs.
P02N02,I have to take care of others before myself.
P02N03,"I have to earn love, approval and appreciation."
P02N04,To be loved I must be needed.
P02N05,I have to be available to the other person even though I’m exhausted.
P03N01,My worth depends on my achievements and positive regard of others.
P03N02,True feelings are not to be expressed if they make you look bad.
P03N03,It’s important to present a winning image.
P03N04,"To be loved I must be successful, a winner."
P03N05,My image is tied with my performance.
P03N06,I never fail/ I always have to be winner.
P03N07,"Results count ,not  how one gets there."
P04N01,There is something deeply flawed in me
P04N02,I am generally misunderstood as others don’t experiences things as deeply as I do
P04N03,Others have more fulfilling lives than I do
P04N04,I’m missing something vitally important that would make me whole and complete; I just need to find it
P04N05,I am different from others
P05N01,People are invasive and demand too much.
P05N02,It’s best to need little so I’m not dependent on anyone.
P05N03,"I am on my own in the world, separate from the environment (an outside observer)."
P05N04,Allowing myself to fully feel my emotions would be unpredictable and scary.
P05N05,Knowledge will keep me safe.
P05N06,Facts and logic are the only objective source of knowledge which we can be trust.
P06N01,The world is a dangerous and threatening place.
P06N02,Most people have hidden agendas and are not to be trusted.
P06N03,My safety depends on knowing people’s intentions.
P06N04,To be loved I must be loyal and supportive ALL the time.
P06N05,Nothing should go wrong.
P06N06,The only way you are going to find security is through questioning.
P07N01,World is a banquet of options and I want to taste everything.
P07N02,"Something better (more exciting, more fun) has to be just around the corner; I just need to keep looking."
P07N03,Limits are discomforting.
P07N04,Life should be fun.
P08N02,One should always speak directly without mincing a single word.
P08N03,Confrontation is a way of life.
P08N04,Softness is a sign of weakness.
P08N05,You can never get enough of a good thing
P09N01,There is little to be gained from conflicts and friction.
P09N02,"Everyone needs to be heard, and all perspectives need to be acknowledged before making a decision."
P09N03,It's not good to show anger because conflict destroys positive connections with others.
P09N04,It's easier to go along with what other people want than to go to the trouble of asserting what I want.
P07N05,I require numerous enjoyable experiences to feel fulfilled.
P08N01,The world is divided into two kinds of people: the strong and the weak
